"C02414V02915","Sector","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"24","Chemicals and chemical products (NACE 24)","2003","2003","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1200.78"
"24","Chemicals and chemical products (NACE 24)","2003","2003","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.12"
"24","Chemicals and chemical products (NACE 24)","2003","2003","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.12"
"24","Chemicals and chemical products (NACE 24)","2003","2003","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1240.9"
"24","Chemicals and chemical products (NACE 24)","2004","2004","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1153.32"
"24","Chemicals and chemical products (NACE 24)","2004","2004","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.12"
"24","Chemicals and chemical products (NACE 24)","2004","2004","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.16"
"24","Chemicals and chemical products (NACE 24)","2004","2004","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1193.74"
"24","Chemicals and chemical products (NACE 24)","2005","2005","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1262.3"
"24","Chemicals and chemical products (NACE 24)","2005","2005","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.13"
"24","Chemicals and chemical products (NACE 24)","2005","2005","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.14"
"24","Chemicals and chemical products (NACE 24)","2005","2005","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1305.22"
"24","Chemicals and chemical products (NACE 24)","2006","2006","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","1026.84"
"24","Chemicals and chemical products (NACE 24)","2006","2006","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.11"
"24","Chemicals and chemical products (NACE 24)","2006","2006","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.18"
"24","Chemicals and chemical products (NACE 24)","2006","2006","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1065.14"
"24","Chemicals and chemical products (NACE 24)","2007","2007","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","983.06"
"24","Chemicals and chemical products (NACE 24)","2007","2007","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"24","Chemicals and chemical products (NACE 24)","2007","2007","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0.12"
"24","Chemicals and chemical products (NACE 24)","2007","2007","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1015.11"
"25","Rubber and plastic products (NACE 25)","1994","1994","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","290.7"
"25","Rubber and plastic products (NACE 25)","1994","1994","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"25","Rubber and plastic products (NACE 25)","1994","1994","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"25","Rubber and plastic products (NACE 25)","1994","1994","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","301.3"
"25","Rubber and plastic products (NACE 25)","1995","1995","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","309.7"
"25","Rubber and plastic products (NACE 25)","1995","1995","EAA01C2","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"25","Rubber and plastic products (NACE 25)","1995","1995","EAA01C3","Methane (CH4) Emissions","000 Tonnes","0"
"25","Rubber and plastic products (NACE 25)","1995","1995","EAA01C4","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","320.4"
"25","Rubber and plastic products (NACE 25)","1996","1996","EAA01C1","Carbon Dioxide (CO2) Emissions","000 Tonnes","317.5"
